time,tank1.storage,tank1.output,pid_controller.output
0.0,1.5649416666666667,0.3129883333333333,1.275
1.0,-0.4549033590277778,-0.09098067180555555,-1.91560125
2.0,3.4991378787634844,0.6998275757526968,4.271698148854167
3.0,-4.166660669604614,-0.8333321339209228,-7.758206865256607
4.0,10.744331624267923,2.148866324853585,15.618663776935131
5.0,-18.22271470330572,-3.644542940661144,-29.81183208732771
6.0,38.080936740977364,7.6161873481954725,58.47791176064422
7.0,-71.33026136891421,-14.266052273782842,-113.102310014686
8.0,141.3063258526131,28.26126517052262,220.34584977277171
9.0,-271.92131040247835,-54.384262080495674,-427.67213268356875
10.0,531.1479129571144,106.22958259142288,831.6796106958111
11.0,-1029.5200774145903,-205.90401548291806,-1615.728479606118
12.0,2003.470712398719,400.6941424797438,3140.536723553466
13.0,-3890.8009792638777,-778.1601958527756,-6102.731776971447
14.0,7564.063685952174,1512.8127371904347,11860.528290961549
15.0,-14697.178716993913,-2939.4357433987825,-23049.05824803879
16.0,28565.063304741954,5713.0126609483905,44793.821360392176
17.0,-55510.26129154205,-11102.05225830841,-87051.22926213068
18.0,107880.73827496888,21576.147654993776,169174.88731489232
19.0,-209651.3965296552,-41930.27930593104,-328771.92311141745
20.0,407436.81278929964,81487.36255785993,638932.0332931364
21.0,-791805.1260103193,-158361.02520206387,-1241692.4154483397
22.0,1538787.5116163897,307757.50232327793,2413090.9471701784
23.0,-2990458.7135766917,-598091.7427153384,-4689571.911277032
24.0,5811624.958822809,1162324.9917645617,9113659.275011215
25.0,-11294240.578007162,-2258848.1156014325,-17711377.32912176
26.0,21949096.6562676,4389819.331253519,34420082.26425303
27.0,-42655612.63848816,-8531122.527697632,-66891581.14107722
28.0,82896417.05333473,16579283.410666946,129996310.01201133
29.0,-161099915.89199948,-32219983.178399898,-252633294.31496838
30.0,313079678.3243716,62615935.664874315,490964563.58479
31.0,-608435349.6030096,-121687069.92060192,-954134738.7676904
32.0,1182426081.506968,236485216.3013936,1854254192.7972841
33.0,-2297912890.978771,-459582578.19575423,-3603535716.9303894
34.0,4465736799.05619,893147359.8112379,7003068789.992874
35.0,-8678660195.354889,-1735732039.0709777,-13609681247.483074
36.0,16866005815.557217,3373201163.1114435,26448893938.397324
37.0,-32777196674.931286,-6555439334.986258,-51400468374.02188
