time,main_river_channel.storage,branch1_channel.output,branch2_pipe.output,regulating_reservoir.storage,total_outflow.output
0.0,1040.0,19.318920674224284,-0.365975909189126,508.95294476503517,148.84633434798587
1.0,1079.6,108.25528782045025,-0.7235207877927163,606.305652902392,163.5418477906549
2.0,1118.8039999999999,156.68326467653583,-1.1252272459847117,749.7375772748953,183.05367842871016
3.0,1157.6159599999999,183.84128696364257,-1.570514554122881,917.0135981389171,203.45731974314225
4.0,1196.0398003999999,199.8094690839446,-2.0240673988157867,1096.4587278612676,223.2809048240104
5.0,1234.079402396,209.87045002587274,-2.4428624324664128,1281.9571408974484,242.0721381075639
6.0,1271.73860837204,216.7936785829892,-2.802121476677488,1470.3095551858112,259.76495400306175
7.0,1309.0212222883197,222.03197119510244,-3.10286416069893,1659.8324711164985,276.42683602655364
8.0,1345.9310100654366,226.34830366568957,-3.3600231014330015,1849.624102258425,292.1614981832789
9.0,1382.4716999647821,230.14415054117794,-3.5883582752243592,2039.18741247921,307.07338200571286
10.0,1418.6469829651344,233.63148949073542,-3.7972537535301356,2228.2378999668313,321.25622740274883
11.0,1454.460513135483,236.9229135774649,-3.991784650822586,2416.604270894137,334.790655212633
12.0,1489.9159080041284,240.07884569968417,-4.174807808933985,2604.1762233670042,347.74491792726786
13.0,1525.016748924087,243.132281088277,-4.34817248163724,2790.876807506304,360.17659212320115
14.0,1559.7665814348463,246.10175738833297,-4.513215661384093,2976.647813083127,372.1343734373244
15.0,1594.168915620498,248.9981570492828,-4.670961104400896,3161.4420527663465,383.659679950379
16.0,1628.227226464293,251.8282780047053,-4.8222187518041695,3345.2192709639207,394.78798973212315
17.0,1661.94495419965,254.59671068082588,-4.967644716927149,3527.943951508541,405.549923138218
18.0,1695.3255046576535,257.3068270936908,-5.107780658804786,3709.584118913256,415.9721075902481
19.0,1728.372249611077,259.96130420100735,-5.243080834157261,3890.1106599018412,426.07786632253556
20.0,1761.0885271149662,262.562402728665,-5.373931319608796,4069.496918112861,435.887768003219
21.0,1793.4776418438164,265.1121174215237,-5.500664040752076,4247.718433131376,445.4200674700604
22.0,1825.5428654253783,267.6122595156298,-5.623567242234745,4424.752756742143,454.6910614313892
23.0,1857.2874367711245,270.06450333068693,-5.742893452868907,4600.5793114851185,463.71537760879033
24.0,1888.7145624034133,272.47041373689734,-5.858865647348055,4775.179273344966,472.5062115325892
25.0,1919.8274167793793,274.8314633110533,-5.971682083924027,4948.535469105195,481.07552190913066
26.0,1950.6291426115854,277.1490438328176,-6.081520152975358,5120.632283402933,489.434192971599
27.0,1981.1228511854695,279.4244745865328,-6.188539475133306,5291.455572846274,497.59217032601896
28.0,2011.3116226736147,281.6590087852591,-6.292884422043264,5460.992585752564,505.55857536409286
29.0,2041.1985064468786,283.8538388288279,-6.394686187275137,5629.231886679066,513.3418022199157
30.0,2070.78652138241,286.01010078806803,-6.494064502685915,5796.163285230867,520.9496004114367
31.0,2100.078656168586,288.1288783375567,-6.5911290724034775,5961.777768791402,528.3891456649284
32.0,2129.0778696069,290.21120626825825,-6.685980779742377,6126.0674389040905,535.6671009235966
33.0,2157.787090910831,292.25807366198495,-6.778712709912535,6289.0254510780815,542.7896691542046
34.0,2186.2092200017228,294.27042678219743,-6.869411022073475,6450.645957816644,549.7626392618182
35.0,2214.3471278017055,296.24917171997237,-6.958155697248117,6610.924054683035,556.5914261828564
36.0,2242.2036565236886,298.19517682459514,-7.04502118323057,6769.855729230739,563.2811060358555
37.0,2269.7816199584518,300.1092749423193,-7.1300769534711135,6927.437812634972,569.8364470566919
38.0,2297.0838037588674,301.99226548285526,-7.213387993688142,7083.667933871439,576.2619369220681
39.0,2324.1129657212787,303.8449163302955,-7.295015227417376,7238.544476296889,582.5618069654837
40.0,2350.871836064066,305.66796561300976,-7.375015889697875,7392.066536494263,588.7400537087931
41.0,2377.3631177034254,307.4621233453058,-7.453443856490856,7544.233885253193,594.8004580660064
42.0,2403.5894865263913,309.2280729522191,-7.530349936139078,7695.046930564209,600.7466025213006
43.0,2429.5535916611275,310.96647268757147,-7.6057821281334315,7844.506682512363,606.5818865379532
44.0,2455.2580557445162,312.6779569543924,-7.6797858536062105,7992.614719962902,612.3095404173155
45.0,2480.705475187071,314.36313753587683,-7.752404161277732,8139.373158938243,617.9326377955412
46.0,2505.8984204352005,316.02260474424685,-7.823677912012838,8284.784622591713,623.4541069394772
47.0,2530.8394362308486,317.6569284941735,-7.893645944672482,8428.85221268938,628.8767409809672
48.0,2555.5310418685403,319.26665930677984,-7.962345225554089,8571.579482516818,634.2032072101016
49.0,2579.9757314498547,320.85232924968466,-8.029810983387252,8712.97041113278,639.4360555320806
50.0,2604.1759741353562,322.4144528180422,-8.096076831577415,8853.029378896588,644.577726178836
51.0,2628.134214394003,323.95352776108405,-8.161174879159223,8991.761144200582,649.6305567550316
52.0,2651.852872250063,325.47003585826633,-8.225135831726321,9129.17082134311,654.5967886881709
53.0,2675.334343527562,326.9644436487626,-8.287989083438537,9265.263859481573,659.4785731440475
54.0,2698.581000092286,328.43720311771824,-8.3497628010668,9400.046022608592,664.277976461453
55.0,2721.5951900913633,329.88875234238935,-8.41048400091518,9533.523370497895,668.9969851537268
56.0,2744.3792381904495,331.31951610102345,-8.470178619356593,9665.702240569604,673.6375105192411
57.0,2766.935445808545,332.7299064471016,-8.528871577629456,9796.589230627684,678.2013928981521
58.0,2789.2660913504596,334.1203232513461,-8.58658684146615,9926.19118242501,682.6904056085834
59.0,2811.373430436955,335.4911547137003,-8.643347476057714,10054.515166014151,687.1062585917853
60.0,2833.2596961325853,336.8427778473118,-8.699175696801568,10181.568464844378,691.4506017926275
61.0,2854.9270991712597,338.1755589363881,-8.754092916229101,10307.35856156765,695.7250282989962
62.0,2876.377828179547,339.4898539696468,-8.808119787466113,10431.893124518478,699.9310772612087
63.0,2897.6140498977516,340.7860090509506,-8.861276244540967,10555.179994834518,704.0702366103978
64.0,2918.637909398774,342.0643607885946,-8.913581539821747,10677.2271741866,708.143945592905
65.0,2939.451530304786,343.32523666460224,-8.965054278834419,10798.042813088636,712.1535971360256
66.0,2960.0570150017384,344.56895538528613,-9.015712452687652,10917.635199759461,716.1005400589567
67.0,2980.456444851721,345.7958272142362,-9.065573468307887,11036.0127495102,719.9860811414552
68.0,3000.6518804032034,347.0061542888138,-9.114654176666688,11153.183994632143,723.8114870615334
69.0,3020.6453615991713,348.20023092115076,-9.16297089916633,11269.157574761484,727.5779862124566
70.0,3040.4389079831794,349.37834388458435,-9.210539452331167,11383.942227698508,731.286770408361
71.0,3060.034518903348,350.5407726863892,-9.257375170941394,11497.546780659986,734.938996486969
72.0,3079.4341737143145,351.6877898276115,-9.303492929728925,11609.980141944669,738.5357878171104
73.0,3098.6398319771715,352.81966105075196,-9.348907163749502,11721.251292992778,742.0782357180885
74.0,3117.6534336574,353.93664557599516,-9.393631887527432,11831.369280821391,745.5674007973057
75.0,3136.476899320826,355.038996326634,-9.43768071307062,11940.343210818526,749.0043142120229
76.0,3155.1121303276177,356.1269601442971,-9.481066866831448,12048.182239879621,752.3899788606195
77.0,3173.5610090243417,357.2007779945439,-9.523803205700956,12154.895569870872,755.7253705082799
78.0,3191.8253989340983,358.26068516335766,-9.565902232090634,12260.492441404722,759.0114388516197
79.0,3209.9071449447574,359.306911445031,-9.607376108187362,12364.98212791347,762.2491085264019
80.0,3227.80807349531,360.33968132190734,-9.648236669409371,12468.3739300077,765.4392800621563
81.0,3245.529992760357,361.35921413641205,-9.688495437160588,12570.677170106797,768.5828307872133
82.0,3263.0746928327535,362.3657242557799,-9.728163630869881,12671.901187329571,771.6806156873905
83.0,3280.443945904426,363.3594212298603,-9.767252179451514,12772.055332633388,774.7334682213157
84.0,3297.639506445382,364.3405099423577,-9.805771732095828,12871.148964190983,777.7422010951458
85.0,3314.663111380928,365.3091907558445,-9.843732668623675,12969.191442994384,780.7076069992276
86.0,3331.516480267119,366.2656596508601,-9.881145109151461,13066.192128676206,783.6304593090649
87.0,3348.201315464448,367.21010835939484,-9.918018923529635,13162.160375538548,786.5115127527687
88.0,3364.7193023098034,368.14272449303735,-9.954363739939954,13257.105528780874,789.3515040470267
89.0,3381.072109286705,369.06369166604793,-9.990188953653135,13351.036920917652,792.1511525034584
90.0,3397.2613881938382,369.97318961360617,-10.025503734494091,13443.96386837841,794.911160607123
91.0,3413.2887743119,370.87139430546523,-10.060317035298914,13535.89566828101,797.6322145687662
