time,channel.output,gate.output,pid_controller.output,inflow_to_channel.output
0.0,0.0,0.0,-1.3,10.0
1.0,0.0,0.0,-1.2,10.0
2.0,0.0,0.0,-1.3,10.0
3.0,0.0,0.0,-1.4,10.0
4.0,0.0,0.0,-1.5,10.0
5.0,10.0,0.0,-0.3,10.0
6.0,10.0,0.0,-0.5,10.0
7.0,10.0,0.0,-0.5,10.0
8.0,10.0,0.0,-0.5,10.0
9.0,10.0,0.0,-0.5,10.0
10.0,10.0,0.0,-0.5,10.0
11.0,10.0,0.0,-0.5,10.0
12.0,10.0,0.0,-0.5,10.0
13.0,10.0,0.0,-0.5,10.0
14.0,10.0,0.0,-0.5,10.0
15.0,10.0,0.0,-0.5,10.0
16.0,10.0,0.0,-0.5,10.0
17.0,10.0,0.0,-0.5,10.0
18.0,10.0,0.0,-0.5,10.0
19.0,10.0,0.0,-0.5,10.0
20.0,10.0,0.0,-0.5,10.0
21.0,10.0,0.0,-0.5,10.0
22.0,10.0,0.0,-0.5,10.0
23.0,10.0,0.0,-0.5,10.0
24.0,10.0,0.0,-0.5,10.0
25.0,10.0,0.0,-0.5,10.0
26.0,10.0,0.0,-0.5,10.0
27.0,10.0,0.0,-0.5,10.0
28.0,10.0,0.0,-0.5,10.0
29.0,10.0,0.0,-0.5,10.0
30.0,10.0,0.0,-0.5,10.0
31.0,10.0,0.0,-0.5,10.0
32.0,10.0,0.0,-0.5,10.0
33.0,10.0,0.0,-0.5,10.0
34.0,10.0,0.0,-0.5,10.0
35.0,10.0,0.0,-0.5,10.0
36.0,10.0,0.0,-0.5,10.0
37.0,10.0,0.0,-0.5,10.0
38.0,10.0,0.0,-0.5,10.0
39.0,10.0,0.0,-0.5,10.0
40.0,10.0,0.0,-0.5,10.0
41.0,10.0,0.0,-0.5,10.0
42.0,10.0,0.0,-0.5,10.0
43.0,10.0,0.0,-0.5,10.0
44.0,10.0,0.0,-0.5,10.0
45.0,10.0,0.0,-0.5,10.0
46.0,10.0,0.0,-0.5,10.0
47.0,10.0,0.0,-0.5,10.0
48.0,10.0,0.0,-0.5,10.0
49.0,10.0,0.0,-0.5,10.0
50.0,10.0,0.0,-0.5,10.0
51.0,10.0,0.0,-0.5,15.0
52.0,10.0,0.0,-0.5,15.0
53.0,10.0,0.0,-0.5,15.0
54.0,10.0,0.0,-0.5,15.0
55.0,10.0,0.0,-0.5,15.0
56.0,15.0,1.2606426932323052,0.15,15.0
57.0,15.0,0.8404284621548699,0.09999999999999998,15.0
58.0,15.0,1.260642693232305,0.14999999999999997,15.0
59.0,15.0,1.6808569243097402,0.2,15.0
60.0,15.0,2.1010711553871753,0.25,15.0
61.0,15.0,2.5212853864646103,0.3,15.0
62.0,15.0,2.9414996175420454,0.35,15.0
63.0,15.0,3.3617138486194804,0.4,15.0
64.0,15.0,3.781928079696916,0.45,15.0
65.0,15.0,4.2021423107743505,0.5,15.0
66.0,15.0,4.622356541851786,0.55,15.0
67.0,15.0,5.042570772929221,0.6,15.0
68.0,15.0,5.462785004006656,0.65,15.0
69.0,15.0,5.882999235084091,0.7,15.0
70.0,15.0,6.303213466161526,0.75,15.0
71.0,15.0,6.723427697238961,0.8,15.0
72.0,15.0,7.143641928316396,0.8500000000000001,15.0
73.0,15.0,7.563856159393832,0.9,15.0
74.0,15.0,7.984070390471266,0.95,15.0
75.0,15.0,8.404284621548701,1.0,15.0
76.0,15.0,8.824498852626137,1.05,15.0
77.0,15.0,9.244713083703571,1.1,15.0
78.0,15.0,9.664927314781005,1.15,15.0
79.0,15.0,10.085141545858443,1.2000000000000002,15.0
80.0,15.0,10.505355776935877,1.25,15.0
81.0,15.0,10.925570008013311,1.3,15.0
82.0,15.0,11.345784239090747,1.35,15.0
83.0,15.0,11.765998470168181,1.4,15.0
84.0,15.0,12.18621270124562,1.4500000000000002,15.0
85.0,15.0,12.606426932323052,1.5,15.0
86.0,15.0,13.026641163400486,1.55,15.0
87.0,15.0,13.446855394477922,1.6,15.0
88.0,15.0,13.867069625555358,1.6500000000000001,15.0
89.0,15.0,14.287283856632792,1.7,15.0
90.0,15.0,14.707498087710228,1.75,15.0
91.0,15.0,15.127712318787664,1.8,15.0
92.0,15.0,15.5479265498651,1.85,15.0
93.0,15.0,15.968140780942534,1.9000000000000001,15.0
94.0,15.0,16.388355012019968,1.95,15.0
95.0,15.0,16.808569243097402,2.0,15.0
96.0,15.0,17.228783474174836,2.05,15.0
97.0,15.0,17.648997705252274,2.1,15.0
98.0,15.0,18.06921193632971,2.1500000000000004,15.0
99.0,15.0,18.489426167407142,2.2,15.0
100.0,15.0,18.909640398484576,2.25,15.0
101.0,15.0,19.32985462956201,2.3,8.0
102.0,15.0,19.75006886063945,2.35,8.0
103.0,15.0,20.170283091716886,2.4000000000000004,8.0
104.0,15.0,20.590497322794317,2.45,8.0
105.0,15.0,21.010711553871754,2.5,8.0
106.0,8.0,7.549274677742226,1.6400000000000001,8.0
107.0,8.0,8.101660629772146,1.76,8.0
108.0,8.0,8.009596304433826,1.74,8.0
109.0,8.0,7.917531979095505,1.72,8.0
110.0,8.0,7.825467653757186,1.7000000000000002,8.0
111.0,8.0,7.733403328418866,1.6800000000000002,8.0
112.0,8.0,7.641339003080546,1.6600000000000001,8.0
113.0,8.0,7.549274677742226,1.6400000000000001,8.0
114.0,8.0,7.457210352403906,1.62,8.0
115.0,8.0,7.365146027065586,1.6,8.0
116.0,8.0,7.273081701727267,1.58,8.0
117.0,8.0,7.181017376388946,1.56,8.0
118.0,8.0,7.088953051050627,1.54,8.0
119.0,8.0,6.9968887257123065,1.52,8.0
120.0,8.0,6.904824400373987,1.5,8.0
121.0,8.0,6.812760075035667,1.48,8.0
122.0,8.0,6.720695749697349,1.4600000000000002,8.0
123.0,8.0,6.628631424359028,1.4400000000000002,8.0
124.0,8.0,6.536567099020709,1.4200000000000002,8.0
125.0,8.0,6.444502773682389,1.4000000000000001,8.0
126.0,8.0,6.352438448344069,1.3800000000000001,8.0
127.0,8.0,6.260374123005749,1.36,8.0
128.0,8.0,6.168309797667429,1.34,8.0
129.0,8.0,6.076245472329109,1.32,8.0
130.0,8.0,5.98418114699079,1.3,8.0
131.0,8.0,5.892116821652469,1.28,8.0
132.0,8.0,5.80005249631415,1.26,8.0
133.0,8.0,5.707988170975829,1.24,8.0
134.0,8.0,5.61592384563751,1.22,8.0
135.0,8.0,5.52385952029919,1.2000000000000002,8.0
136.0,8.0,5.431795194960871,1.1800000000000002,8.0
137.0,8.0,5.339730869622551,1.1600000000000001,8.0
138.0,8.0,5.247666544284231,1.1400000000000001,8.0
139.0,8.0,5.155602218945911,1.12,8.0
140.0,8.0,5.063537893607591,1.1,8.0
141.0,8.0,4.971473568269271,1.08,8.0
142.0,8.0,4.879409242930951,1.06,8.0
143.0,8.0,4.787344917592631,1.04,8.0
144.0,8.0,4.695280592254312,1.02,8.0
145.0,8.0,4.603216266915991,1.0,8.0
146.0,8.0,4.511151941577672,0.98,8.0
147.0,8.0,4.419087616239351,0.96,8.0
148.0,8.0,4.327023290901033,0.9400000000000002,8.0
149.0,8.0,4.234958965562712,0.9200000000000002,8.0
150.0,8.0,4.142894640224393,0.9000000000000001,8.0
151.0,8.0,4.050830314886073,0.8800000000000001,8.0
152.0,8.0,3.9587659895477527,0.8600000000000001,8.0
153.0,8.0,3.866701664209433,0.8400000000000001,8.0
154.0,8.0,3.774637338871113,0.8200000000000001,8.0
155.0,8.0,3.682573013532793,0.8,8.0
156.0,8.0,3.590508688194473,0.78,8.0
157.0,8.0,3.4984443628561532,0.76,8.0
158.0,8.0,3.4063800375178337,0.74,8.0
159.0,8.0,3.314315712179514,0.72,8.0
160.0,8.0,3.222251386841194,0.7,8.0
161.0,8.0,3.130187061502874,0.6799999999999999,8.0
162.0,8.0,3.038122736164554,0.6599999999999999,8.0
163.0,8.0,2.946058410826234,0.6399999999999999,8.0
164.0,8.0,2.853994085487915,0.6200000000000001,8.0
165.0,8.0,2.761929760149595,0.6000000000000001,8.0
166.0,8.0,2.6698654348112756,0.5800000000000001,8.0
167.0,8.0,2.5778011094729556,0.56,8.0
168.0,8.0,2.4857367841346356,0.54,8.0
169.0,8.0,2.3936724587963156,0.52,8.0
170.0,8.0,2.3016081334579956,0.5,8.0
171.0,8.0,2.209543808119676,0.48000000000000004,8.0
172.0,8.0,2.117479482781356,0.46,8.0
173.0,8.0,2.0254151574430366,0.44,8.0
174.0,8.0,1.9333508321047166,0.42,8.0
175.0,8.0,1.8412865067663964,0.39999999999999997,8.0
176.0,8.0,1.7492221814280764,0.37999999999999995,8.0
177.0,8.0,1.657157856089757,0.36000000000000004,8.0
178.0,8.0,1.5650935307514373,0.34,8.0
179.0,8.0,1.4730292054131173,0.32,8.0
180.0,8.0,1.3809648800747973,0.3,8.0
181.0,8.0,1.2889005547364776,0.27999999999999997,8.0
182.0,8.0,1.1968362293981578,0.26,8.0
183.0,8.0,1.1047719040598378,0.24,8.0
184.0,8.0,1.012707578721518,0.21999999999999997,8.0
185.0,8.0,0.9206432533831983,0.2,8.0
186.0,8.0,0.8285789280448785,0.18,8.0
187.0,8.0,0.7365146027065586,0.15999999999999998,8.0
188.0,8.0,0.6444502773682389,0.14,8.0
189.0,8.0,0.5523859520299189,0.12,8.0
190.0,8.0,0.46032162669159904,0.09999999999999998,8.0
191.0,8.0,0.3682573013532794,0.08000000000000002,8.0
192.0,8.0,0.27619297601495946,0.06,8.0
193.0,8.0,0.18412865067663955,0.03999999999999998,8.0
194.0,8.0,0.09206432533831978,0.01999999999999999,8.0
195.0,8.0,0.0,0.0,8.0
196.0,8.0,0.0,-0.020000000000000018,8.0
197.0,8.0,0.0,-0.04000000000000001,8.0
198.0,8.0,0.0,-0.06,8.0
199.0,8.0,0.0,-0.08000000000000002,8.0
