time,upstream_channel.output,downstream_channel.output,pid_controller_downstream.output,upstream_inflow.output,downstream_demand.output
0.0,0.0,0.0,-0.0,10.0,8.0
1.0,0.0,0.0,-0.52,10.0,8.0
2.0,0.0,0.0,-0.48000000000000004,10.0,8.0
3.0,0.0,0.0,-0.52,10.0,8.0
4.0,0.0,0.0,-0.56,10.0,8.0
5.0,10.0,0.0,-0.6000000000000001,10.0,8.0
6.0,10.0,0.0,-0.64,10.0,8.0
7.0,10.0,0.0,-0.68,10.0,8.0
8.0,10.0,-8.0,-0.72,10.0,8.0
9.0,10.0,-8.0,-1.2800000000000002,10.0,8.0
10.0,10.0,-8.0,-1.28,10.0,8.0
11.0,10.0,-8.0,-1.36,10.0,8.0
12.0,10.0,-8.0,-1.44,10.0,8.0
13.0,10.0,-8.0,-1.52,10.0,8.0
14.0,10.0,-8.0,-1.6,10.0,8.0
15.0,10.0,-8.0,-1.6800000000000002,10.0,8.0
16.0,10.0,-8.0,-1.76,10.0,8.0
17.0,10.0,-8.0,-1.84,10.0,8.0
18.0,10.0,-8.0,-1.9200000000000002,10.0,8.0
19.0,10.0,-8.0,-2.0,10.0,8.0
20.0,10.0,-8.0,-2.08,10.0,8.0
21.0,10.0,-8.0,-2.16,10.0,8.0
22.0,10.0,-8.0,-2.24,10.0,8.0
23.0,10.0,-8.0,-2.3200000000000003,10.0,8.0
24.0,10.0,-8.0,-2.4000000000000004,10.0,8.0
25.0,10.0,-8.0,-2.48,10.0,8.0
26.0,10.0,-8.0,-2.56,10.0,8.0
27.0,10.0,-8.0,-2.64,10.0,8.0
28.0,10.0,-8.0,-2.7199999999999998,10.0,8.0
29.0,10.0,-8.0,-2.8,10.0,8.0
30.0,10.0,-8.0,-2.88,10.0,8.0
31.0,10.0,-8.0,-2.96,10.0,8.0
32.0,10.0,-8.0,-3.04,10.0,8.0
33.0,10.0,-8.0,-3.12,10.0,8.0
34.0,10.0,-8.0,-3.2,10.0,8.0
35.0,10.0,-8.0,-3.2800000000000002,10.0,8.0
36.0,10.0,-8.0,-3.3600000000000003,10.0,8.0
37.0,10.0,-8.0,-3.4400000000000004,10.0,8.0
38.0,10.0,-8.0,-3.5200000000000005,10.0,8.0
39.0,10.0,-8.0,-3.6000000000000005,10.0,8.0
40.0,10.0,-8.0,-3.6799999999999997,10.0,8.0
41.0,10.0,-8.0,-3.76,10.0,8.0
42.0,10.0,-8.0,-3.84,10.0,8.0
43.0,10.0,-8.0,-3.92,10.0,8.0
44.0,10.0,-8.0,-4.0,10.0,8.0
45.0,10.0,-8.0,-4.08,10.0,8.0
46.0,10.0,-8.0,-4.16,10.0,8.0
47.0,10.0,-8.0,-4.24,10.0,8.0
48.0,10.0,-8.0,-4.32,10.0,8.0
49.0,10.0,-8.0,-4.4,10.0,8.0
50.0,10.0,-8.0,-4.48,10.0,8.0
51.0,10.0,-8.0,-4.5600000000000005,15.0,8.0
52.0,10.0,-8.0,-4.64,15.0,8.0
53.0,10.0,-8.0,-4.72,15.0,8.0
54.0,10.0,-8.0,-4.8,15.0,8.0
55.0,10.0,-8.0,-4.88,15.0,8.0
56.0,15.0,-8.0,-4.96,15.0,8.0
57.0,15.0,-8.0,-5.04,15.0,8.0
58.0,15.0,-8.0,-5.12,15.0,8.0
59.0,15.0,-8.0,-5.2,15.0,8.0
60.0,15.0,-8.0,-5.28,15.0,8.0
