time,upstream_channel.output,downstream_channel.output,gate.area,upstream_inflow.output,downstream_demand.output
0.0,0.0,0.0,-0.65,10.0,8.0
1.0,0.0,0.0,-0.86,10.0,8.0
2.0,0.0,0.0,-0.89,10.0,8.0
3.0,0.0,0.0,-0.96,10.0,8.0
4.0,0.0,0.0,-1.03,10.0,8.0
5.0,10.0,0.0,-0.45000000000000007,10.0,8.0
6.0,10.0,0.0,-0.5700000000000001,10.0,8.0
7.0,10.0,0.0,-0.5900000000000001,10.0,8.0
8.0,10.0,-8.0,-0.61,10.0,8.0
9.0,10.0,-8.0,-0.8900000000000001,10.0,8.0
10.0,10.0,-8.0,-0.89,10.0,8.0
11.0,10.0,-8.0,-0.93,10.0,8.0
12.0,10.0,-8.0,-0.97,10.0,8.0
13.0,10.0,-8.0,-1.01,10.0,8.0
14.0,10.0,-8.0,-1.05,10.0,8.0
15.0,10.0,-8.0,-1.09,10.0,8.0
16.0,10.0,-8.0,-1.13,10.0,8.0
17.0,10.0,-8.0,-1.17,10.0,8.0
18.0,10.0,-8.0,-1.21,10.0,8.0
19.0,10.0,-8.0,-1.25,10.0,8.0
20.0,10.0,-8.0,-1.29,10.0,8.0
21.0,10.0,-8.0,-1.33,10.0,8.0
22.0,10.0,-8.0,-1.37,10.0,8.0
23.0,10.0,-8.0,-1.4100000000000001,10.0,8.0
24.0,10.0,-8.0,-1.4500000000000002,10.0,8.0
25.0,10.0,-8.0,-1.49,10.0,8.0
26.0,10.0,-8.0,-1.53,10.0,8.0
27.0,10.0,-8.0,-1.57,10.0,8.0
28.0,10.0,-8.0,-1.6099999999999999,10.0,8.0
29.0,10.0,-8.0,-1.65,10.0,8.0
30.0,10.0,-8.0,-1.69,10.0,8.0
31.0,10.0,-8.0,-1.73,10.0,8.0
32.0,10.0,-8.0,-1.77,10.0,8.0
33.0,10.0,-8.0,-1.81,10.0,8.0
34.0,10.0,-8.0,-1.85,10.0,8.0
35.0,10.0,-8.0,-1.8900000000000001,10.0,8.0
36.0,10.0,-8.0,-1.9300000000000002,10.0,8.0
37.0,10.0,-8.0,-1.9700000000000002,10.0,8.0
38.0,10.0,-8.0,-2.0100000000000002,10.0,8.0
39.0,10.0,-8.0,-2.0500000000000003,10.0,8.0
40.0,10.0,-8.0,-2.09,10.0,8.0
41.0,10.0,-8.0,-2.13,10.0,8.0
42.0,10.0,-8.0,-2.17,10.0,8.0
43.0,10.0,-8.0,-2.21,10.0,8.0
44.0,10.0,-8.0,-2.25,10.0,8.0
45.0,10.0,-8.0,-2.29,10.0,8.0
46.0,10.0,-8.0,-2.33,10.0,8.0
47.0,10.0,-8.0,-2.37,10.0,8.0
48.0,10.0,-8.0,-2.41,10.0,8.0
49.0,10.0,-8.0,-2.45,10.0,8.0
50.0,10.0,-8.0,-2.49,10.0,8.0
51.0,10.0,-8.0,-2.5300000000000002,15.0,8.0
52.0,10.0,-8.0,-2.57,15.0,8.0
53.0,10.0,-8.0,-2.61,15.0,8.0
54.0,10.0,-8.0,-2.65,15.0,8.0
55.0,10.0,-8.0,-2.69,15.0,8.0
56.0,15.0,-8.0,-2.405,15.0,8.0
57.0,15.0,-8.0,-2.47,15.0,8.0
58.0,15.0,-8.0,-2.485,15.0,8.0
59.0,15.0,-8.0,-2.5,15.0,8.0
60.0,15.0,-8.0,-2.515,15.0,8.0
61.0,15.0,-8.0,-2.5300000000000002,15.0,8.0
62.0,15.0,-8.0,-2.545,15.0,8.0
63.0,15.0,-8.0,-2.5599999999999996,15.0,8.0
64.0,15.0,-8.0,-2.5749999999999997,15.0,8.0
65.0,15.0,-8.0,-2.59,15.0,8.0
66.0,15.0,-8.0,-2.605,15.0,8.0
67.0,15.0,-8.0,-2.62,15.0,8.0
68.0,15.0,-8.0,-2.635,15.0,8.0
69.0,15.0,-8.0,-2.65,15.0,8.0
70.0,15.0,-8.0,-2.665,15.0,8.0
71.0,15.0,-8.0,-2.68,15.0,8.0
72.0,15.0,-8.0,-2.6950000000000003,15.0,8.0
73.0,15.0,-8.0,-2.71,15.0,8.0
74.0,15.0,-8.0,-2.725,15.0,8.0
75.0,15.0,-8.0,-2.7399999999999998,15.0,8.0
76.0,15.0,-8.0,-2.755,15.0,8.0
77.0,15.0,-8.0,-2.7699999999999996,15.0,8.0
78.0,15.0,-8.0,-2.785,15.0,8.0
79.0,15.0,-8.0,-2.8,15.0,8.0
80.0,15.0,-8.0,-2.815,15.0,8.0
81.0,15.0,-8.0,-2.83,15.0,8.0
82.0,15.0,-8.0,-2.8449999999999998,15.0,8.0
83.0,15.0,-8.0,-2.8600000000000003,15.0,8.0
84.0,15.0,-8.0,-2.875,15.0,8.0
85.0,15.0,-8.0,-2.89,15.0,8.0
86.0,15.0,-8.0,-2.9050000000000002,15.0,8.0
87.0,15.0,-8.0,-2.92,15.0,8.0
