time,upstream_channel.output,downstream_channel.output,mpc_controller.output,upstream_inflow.output,downstream_demand.output
0.0,0.0,0.0,-2.8141937936857414e-15,10.0,8.0
1.0,0.0,0.0,-1.6733871579373341e-06,10.0,8.0
2.0,0.0,0.0,-6.773264192170516e-08,10.0,8.0
3.0,0.0,0.0,-2.741569984728646e-09,10.0,8.0
4.0,0.0,0.0,-1.1095618451349793e-10,10.0,8.0
5.0,10.0,0.0,5.236549562757503e-06,10.0,8.0
6.0,10.0,0.0,2.1195590064855746e-07,10.0,8.0
7.0,10.0,0.0,8.57927914310165e-09,10.0,8.0
8.0,10.0,-8.0,3.4720694287456905e-10,10.0,8.0
9.0,10.0,-8.0,-4.32120167744394e-05,10.0,8.0
10.0,10.0,-8.0,-1.7490688976193935e-06,10.0,8.0
11.0,10.0,-8.0,-7.079604264413077e-08,10.0,8.0
12.0,10.0,-8.0,-2.865724286466245e-09,10.0,8.0
13.0,10.0,-7.9999803183743055,-1.1604657924536877e-10,10.0,8.0
14.0,10.0,-7.999999203361555,7.156455414075597e-08,10.0,8.0
15.0,10.0,-7.9999999677546905,-6.580122925264042e-08,10.0,8.0
16.0,10.0,-7.999999998695019,-5.418842281013586e-09,10.0,8.0
17.0,10.0,-8.0,-3.307141590548681e-10,10.0,8.0
18.0,10.0,-8.0,-1.794700060664328e-11,10.0,8.0
19.0,10.0,-8.0,-7.109093203646745e-13,10.0,8.0
20.0,10.0,-8.0,-3.2258255769630595e-14,10.0,8.0
21.0,10.0,-8.0,-2.0701206183933086e-13,10.0,8.0
22.0,10.0,-7.999999731023883,-6.357064806323343e-14,10.0,8.0
23.0,10.0,-8.0,9.77965784697064e-10,10.0,8.0
24.0,10.0,-8.0,-9.388216371325258e-10,10.0,8.0
25.0,10.0,-8.0,-3.768279965576325e-11,10.0,8.0
26.0,10.0,-8.0,-1.5624007968333169e-12,10.0,8.0
27.0,10.0,-8.0,-4.5941455695055354e-14,10.0,8.0
28.0,10.0,-8.0,-1.872365286548853e-14,10.0,8.0
29.0,10.0,-8.0,-2.278973236079319e-13,10.0,8.0
30.0,10.0,-8.0,-1.8685789916436792e-14,10.0,8.0
31.0,10.0,-7.999999996324306,2.168364767491303e-13,10.0,8.0
32.0,10.0,-8.0,1.3393912319085446e-11,10.0,8.0
33.0,10.0,-8.0,-1.2728081222643927e-11,10.0,8.0
34.0,10.0,-8.0,-4.206871560052229e-13,10.0,8.0
35.0,10.0,-8.0,-7.24741870987509e-14,10.0,8.0
36.0,10.0,-8.0,-1.0640613131266186e-14,10.0,8.0
37.0,10.0,-8.0,-1.5297075421969572e-14,10.0,8.0
38.0,10.0,-8.0,-1.4815122272307576e-14,10.0,8.0
39.0,10.0,-7.999999999999185,-2.0161535117713392e-13,10.0,8.0
40.0,10.0,-7.999999999949659,-1.5094176676298004e-13,10.0,8.0
41.0,10.0,-8.0,1.9915638249033793e-13,10.0,8.0
42.0,10.0,-8.0,-2.904969099741924e-13,10.0,8.0
43.0,10.0,-8.0,2.61975004462642e-14,10.0,8.0
44.0,10.0,-8.0,-6.514106071559138e-15,10.0,8.0
45.0,10.0,-8.0,4.4237859846326383e-14,10.0,8.0
46.0,10.0,-8.0,1.9185437614275717e-13,10.0,8.0
47.0,10.0,-8.0,1.3515557730114024e-14,10.0,8.0
48.0,10.0,-8.0,-1.887561844827659e-13,10.0,8.0
49.0,10.0,-7.999999999999251,-2.481538270907447e-14,10.0,8.0
50.0,10.0,-8.0,6.545332667407321e-14,10.0,8.0
