time,upstream_channel.output,downstream_channel.output,pid_controller_upstream.output,upstream_inflow.output,downstream_demand.output
0.0,0.0,0.0,-1.3,10.0,8.0
1.0,0.0,0.0,-1.2,10.0,8.0
2.0,0.0,0.0,-1.3,10.0,8.0
3.0,0.0,0.0,-1.4,10.0,8.0
4.0,0.0,0.0,-1.5,10.0,8.0
5.0,10.0,0.0,-0.3,10.0,8.0
6.0,10.0,0.0,-0.5,10.0,8.0
7.0,10.0,0.0,-0.5,10.0,8.0
8.0,10.0,-8.0,-0.5,10.0,8.0
9.0,10.0,-8.0,-0.5,10.0,8.0
10.0,10.0,-8.0,-0.5,10.0,8.0
11.0,10.0,-8.0,-0.5,10.0,8.0
12.0,10.0,-8.0,-0.5,10.0,8.0
13.0,10.0,-8.0,-0.5,10.0,8.0
14.0,10.0,-8.0,-0.5,10.0,8.0
15.0,10.0,-8.0,-0.5,10.0,8.0
16.0,10.0,-8.0,-0.5,10.0,8.0
17.0,10.0,-8.0,-0.5,10.0,8.0
18.0,10.0,-8.0,-0.5,10.0,8.0
19.0,10.0,-8.0,-0.5,10.0,8.0
20.0,10.0,-8.0,-0.5,10.0,8.0
21.0,10.0,-8.0,-0.5,10.0,8.0
22.0,10.0,-8.0,-0.5,10.0,8.0
23.0,10.0,-8.0,-0.5,10.0,8.0
24.0,10.0,-8.0,-0.5,10.0,8.0
25.0,10.0,-8.0,-0.5,10.0,8.0
26.0,10.0,-8.0,-0.5,10.0,8.0
27.0,10.0,-8.0,-0.5,10.0,8.0
28.0,10.0,-8.0,-0.5,10.0,8.0
29.0,10.0,-8.0,-0.5,10.0,8.0
30.0,10.0,-8.0,-0.5,10.0,8.0
31.0,10.0,-8.0,-0.5,10.0,8.0
32.0,10.0,-8.0,-0.5,10.0,8.0
33.0,10.0,-8.0,-0.5,10.0,8.0
34.0,10.0,-8.0,-0.5,10.0,8.0
35.0,10.0,-8.0,-0.5,10.0,8.0
36.0,10.0,-8.0,-0.5,10.0,8.0
37.0,10.0,-8.0,-0.5,10.0,8.0
38.0,10.0,-8.0,-0.5,10.0,8.0
39.0,10.0,-8.0,-0.5,10.0,8.0
40.0,10.0,-8.0,-0.5,10.0,8.0
41.0,10.0,-8.0,-0.5,10.0,8.0
42.0,10.0,-8.0,-0.5,10.0,8.0
43.0,10.0,-8.0,-0.5,10.0,8.0
44.0,10.0,-8.0,-0.5,10.0,8.0
45.0,10.0,-8.0,-0.5,10.0,8.0
46.0,10.0,-8.0,-0.5,10.0,8.0
47.0,10.0,-8.0,-0.5,10.0,8.0
48.0,10.0,-8.0,-0.5,10.0,8.0
49.0,10.0,-8.0,-0.5,10.0,8.0
50.0,10.0,-8.0,-0.5,10.0,8.0
51.0,10.0,-8.0,-0.5,15.0,8.0
52.0,10.0,-8.0,-0.5,15.0,8.0
53.0,10.0,-8.0,-0.5,15.0,8.0
54.0,10.0,-8.0,-0.5,15.0,8.0
55.0,10.0,-8.0,-0.5,15.0,8.0
56.0,15.0,-8.0,0.15,15.0,8.0
57.0,15.0,-8.0,0.09999999999999998,15.0,8.0
58.0,15.0,-8.0,0.14999999999999997,15.0,8.0
59.0,15.0,-8.0,0.2,15.0,8.0
60.0,15.0,-8.0,0.25,15.0,8.0
61.0,15.0,-8.0,0.3,15.0,8.0
62.0,15.0,-8.0,0.35,15.0,8.0
63.0,15.0,-8.0,0.4,15.0,8.0
64.0,15.0,-6.945270650830271,0.45,15.0,8.0
65.0,15.0,-7.2968471005535145,0.5,15.0,8.0
66.0,15.0,-6.945270650830271,0.55,15.0,8.0
67.0,15.0,-6.593694201107028,0.6,15.0,8.0
68.0,15.0,-6.242117751383785,0.65,15.0,8.0
69.0,15.0,-5.890541301660543,0.7,15.0,8.0
70.0,15.0,-5.538964851937299,0.75,15.0,8.0
71.0,15.0,-5.187388402214056,0.8,15.0,8.0
72.0,15.0,-4.835811952490813,0.8500000000000001,15.0,8.0
73.0,15.0,-4.48423550276757,0.9,15.0,8.0
74.0,15.0,-4.132659053044327,0.95,15.0,8.0
75.0,15.0,-3.7810826033210843,1.0,15.0,8.0
76.0,15.0,-3.429506153597841,1.05,15.0,8.0
77.0,15.0,-3.0779297038745987,1.1,15.0,8.0
78.0,15.0,-2.7263532541513555,1.15,15.0,8.0
79.0,15.0,-2.3747768044281123,1.2000000000000002,15.0,8.0
80.0,15.0,-2.023200354704869,1.25,15.0,8.0
81.0,15.0,-1.671623904981626,1.3,15.0,8.0
82.0,15.0,-1.3200474552583836,1.35,15.0,8.0
83.0,15.0,-0.9684710055351404,1.4,15.0,8.0
84.0,15.0,-0.6168945558118972,1.4500000000000002,15.0,8.0
85.0,15.0,-0.265318106088654,1.5,15.0,8.0
86.0,15.0,0.08625834363458829,1.55,15.0,8.0
87.0,15.0,0.43783479335783326,1.6,15.0,8.0
88.0,15.0,0.7894112430810747,1.6500000000000001,15.0,8.0
89.0,15.0,1.1409876928043179,1.7,15.0,8.0
90.0,15.0,1.492564142527561,1.75,15.0,8.0
91.0,15.0,1.8441405922508025,1.8,15.0,8.0
92.0,15.0,2.1957170419740475,1.85,15.0,8.0
93.0,15.0,2.547293491697289,1.9000000000000001,15.0,8.0
94.0,15.0,2.898869941420532,1.95,15.0,8.0
95.0,15.0,3.2504463911437753,2.0,15.0,8.0
96.0,15.0,3.6020228408670185,2.05,15.0,8.0
97.0,15.0,3.9535992905902617,2.1,15.0,8.0
98.0,15.0,4.305175740313505,2.1500000000000004,15.0,8.0
99.0,15.0,4.656752190036748,2.2,15.0,8.0
100.0,15.0,5.008328639759991,2.25,15.0,8.0
101.0,15.0,5.3599050894832345,2.3,10.0,12.0
102.0,15.0,5.711481539206476,2.35,10.0,12.0
103.0,15.0,6.063057988929719,2.4000000000000004,10.0,12.0
104.0,15.0,6.414634438652959,2.45,10.0,12.0
105.0,15.0,6.7662108883762055,2.5,10.0,12.0
106.0,10.0,7.117787338099452,1.9,10.0,12.0
107.0,10.0,7.469363787822692,2.0,10.0,12.0
108.0,10.0,7.820940237545933,2.0,10.0,12.0
109.0,10.0,4.172516687269177,2.0,10.0,12.0
110.0,10.0,4.52409313699242,2.0,10.0,12.0
111.0,10.0,4.8756695867156665,2.0,10.0,12.0
112.0,10.0,5.227246036438906,2.0,10.0,12.0
113.0,10.0,5.578822486162149,2.0,10.0,12.0
114.0,10.0,-4.858830347905184,2.0,10.0,12.0
115.0,10.0,-4.482979313584404,2.0,10.0,12.0
116.0,10.0,-4.482979313584404,2.0,10.0,12.0
117.0,10.0,-4.482979313584404,2.0,10.0,12.0
118.0,10.0,-4.482979313584404,2.0,10.0,12.0
119.0,10.0,-4.482979313584404,2.0,10.0,12.0
120.0,10.0,-4.482979313584404,2.0,10.0,12.0
121.0,10.0,-4.482979313584404,2.0,10.0,12.0
122.0,10.0,-4.482979313584404,2.0,10.0,12.0
123.0,10.0,-4.482979313584404,2.0,10.0,12.0
124.0,10.0,-4.482979313584404,2.0,10.0,12.0
125.0,10.0,-4.482979313584404,2.0,10.0,12.0
126.0,10.0,-4.482979313584404,2.0,10.0,12.0
127.0,10.0,-4.482979313584404,2.0,10.0,12.0
128.0,10.0,-4.482979313584404,2.0,10.0,12.0
129.0,10.0,-4.482979313584404,2.0,10.0,12.0
130.0,10.0,-4.482979313584404,2.0,10.0,12.0
131.0,10.0,-4.482979313584404,2.0,10.0,12.0
132.0,10.0,-4.482979313584404,2.0,10.0,12.0
133.0,10.0,-4.482979313584404,2.0,10.0,12.0
134.0,10.0,-4.482979313584404,2.0,10.0,12.0
